"Name";"Brithday";"Place";"Carier "
"Пэдди Консидайн";"5 сентября, 1974";"Бертон апонТрент,Стаффордшир,Англия,Великобритания";"Актер, Сценарист, Режиссер"
"Бини Фельдштейн";"28 июня,1993";"Лос-Анджелес,Калифорния,США";"Актриса, Продюсер"
"Донал Финн";"31 августа,1995";"США";"Актер"
"Каталия Макинтош";"10 ноября 1972";"Бангкок, Таиланд";"Актер"
"Надек Кугимия";"17 декабря,1991";"Кхонкэн,Таиланд";"Актер"
"Пимчанок Леувисетпайбун";"30 сентября,1992";"Бангкок,Таиланд";"Актриса"
"Хоакин Феникс";"28 октября,1974";"Сан-Хуан,Пуэрто-Рико";"Актер, Продюсер, Режиссер, Сценарист"
"Роберт Де Ниро";"17 августа,1943";"Нью-Йорк,США";"Актер, Продюсер, Режиссер"
"Зази Битц";"1 июня,1991";"Берлин,Германия";"Актриса"
"Фрэнсис Конрой";"13 ноября,1953";"Монро,Джорджия,США";"Актриса"
"Юэн МакГрегор";"31 марта,1971";"Перт,Шотландия,Великобритания";"Актер, Продюсер, Сценарист, Режиссер"
"Натали Портман";"9 июня,1981";"Иерусалим,Израиль";"Актриса, Продюсер, Режиссер, Сценарист"
"Джейк Ллойд";"5 марта,1989";"Форт Коллинз,Колорадо,США";"Актер"
"Лиам Нисон";"7 июня,1952";"Беллимен,Северная Ирландия,Великобритания";"Актер, Продюсер"
"Даниэль Отей";"24 января,1950";"Алжир,Алжир";"Актер, Режиссер, Сценарист"
"Тьерри Лермитт";"24 ноября, 1952";"Булонь-Бийанкур, О-де-Сен, Франция";"Актер, Сценарист, Продюсер, Режиссер"
"Мишель Ларок";"15 июня, 1960";"Ницца,Франция";"Актриса, Сценарист, Режиссер, Продюсер"
"Жерар Депардье";"27 декабря,1948";"Шатору,Эндр,Франция";"Актер, Продюсер, Режиссер, Сценарист"
"Акихико Хирата";"26 декабря,1927";"Кэйдзё,Японская империя";"Актер"
"Юми Сиракава";"21 ноября,1936";"Минато,Токио,Япония";"Актриса"
"Момоко Коти";"7 марта,1932";"Токио,Япония";"Актриса"
"Кенджи Сахара";"14 мая,1932";"Канагава,Япония";"Актер"
"Хирофуми Араи";"18 января,1979";"Хиросаки,Япония";"Актер"
"Теруюки Кагава";"7 декабря,1965";"Токио,Япония";"Актер"
"Джо Одагири";"16 февраля,1976";"Цуяма,Окаяма,Япония";"Актер, Режиссер, Сценарист, Композитор, Монтажер, Оператор"
"Масато Ибу";"28 марта, 1949";"Токио, Япония";"Актер, Сценарист"
"Ли Хи Джун";"29 июня,1979";"Тэгу,Южная Корея";"Актер"
"Ким Си А";"6 мая,2008";"Сеул,Южная Корея";"Актриса"
"Чон Сок Хо";"2 мая,1984";"Сеул,Южная Корея";"Актер"
"Хан Джи Мин";"5 ноября,1982";"Сеул,Южная Корея";"Актриса"
"Джису Чой";"25 августа,1997";"Южная Корея";"Актриса"
"Гви-хва Чхве";"3 марта,1978";"Йонгван,Чолла-Намдо,Южная Корея";"Актер"
"Чон Со-Мин";"16 марта,1989";"Пусан,Южная Корея";"Актриса"
"Джун-Хо Ли";"25 января,1990";"Коян,Кёнгидо,Южная Корея";"Актер"
"Шин Ха Гюн";"30 мая,1974";"Сеул, Южная Корея";"Актер"
"Ли Хани";"2 марта,1983";"Сеул,Южная Корея";"Актриса"
"Мён Гон";"3 декабря,1952";"Чонджу,Чолла-Пукто,Южная Корея";"Актер, Сценарист"
"Хо Джун Сок";"11 июня,1982";"Пусан,Южная Корея";"Актер"
"Нора-Джейн Нун";"8 марта,1984";"Голуэй,Ирландия";"Актриса"
"Кристиан Кейн Блэкберн";"27 июня,1972";"Даллас,Техас,США";"Актер, Продюсер"
"Дайан Фарр";"7 сентября,1969";"Манхэттен,Нью-Йорк,США";"Актриса, Сценарист, Продюсер"
"Александра Парк";"14 мая,1989";"Сидней,Новый ЮжныйУэльс,Австралия";"Актриса, Продюсер"
"Хейли Беннетт";"7 января,1988";"Форт-Майерс,Флорида,США";"Актриса, Продюсер"
"Эмили Блант";"23 февраля, 1983";"Лондон, Англия, Великобритания";"Актриса, Продюсер"
"Ребекка Фергюсон";"19 октября,1983";"Стокгольм, Швеция";"Актриса, Продюсер"
"Джастин Теру";"10 августа,1971";"Вашингтон,округ Колумбия,США";"Актер, Продюсер, Сценарист, Режиссер"
"Кентаро Ито";"30 июня,1997";"Токио,Япония";"Актер"
"Рина Каваэй";"12 февраля,1995";"Канагава,Япония";"Актриса"
"Хонока Мацумото";"5 февраля,1997";"Осака,Япония";"Актриса"
"Рёта Катаёсэ";"29 августа,1994";"Осака,Япония";"Актер"
"Мэтт Диллон";"18 февраля,1964";"Нью-Рошелл,Нью-Йорк,США";"Актер, Режиссер, Сценарист"
"Том Харди";"15 сентября,1977";"Лондон,Англия,Великобритания";"Актер, Продюсер, Сценарист"
"Аль Сапиенца";"31 июля, 1962";"Нью-Йорк,США";"Актер, Продюсер"
"Линда Карделлини";"25 июня,1975";"Редвуд-Сити,Калифорния,США";"Актриса, Продюсер"
"Брюс Уиллис";"19 марта, 1955";"Идар-Оберштайн, Рейнланд-Пфальц, ФРГ";"Актер, Продюсер, Сценарист"
"Мэри-Луиза Паркер";"2 августа,1964";"Форт Джексон,Южная Каролина,США";"Актриса"
"Джефферсон Браун";"11 июня 1976";"Фредериктон, Канада";"Актер, Продюсер"
"Хайди фон Паллеске";"9 ноября, 1959";"Торонто,Канада";"Актриса"
"Питер Динклэйдж";"11 июня,1969";"Морристаун, Нью-Джерси, США";"Актер, Продюсер"
"Эйса Гонсалес";"30 января,1990";"Мехико,Мексика";"Актриса"
"Дайэнн Уист";"28 марта, 1948";"Канзас,Миссури,США";"Актриса"
"Розамунд Пайк";"27 января,1979";"Лондон, Англия, Великобритания";"Актриса, Продюсер"
"Роберт Дауни мл";"4 апреля, 1965";"Нью-Йорк, США";"Актер, Продюсер, Сценарист"
"Джефф Бриджес";"4 декабря,1949";"Лос-Анджелес,Калифорния,США";"Актер, Продюсер"
"Гвинет Пэлтроу";"27 сентября,1972";"Лос-Анджелес,Калифорния,США";"Актриса, Продюсер, Режиссер, Сценарист"
"Терренс Ховард";"11 марта,1969";"Чикаго,Иллинойс,США";"Актер, Продюсер, Сценарист"
"Лесли Бибб";"17 ноября,1974";"Бисмарк, Северная Дакота, США";"Актриса, Продюсер"
"Шон Тоуб";"6 апреля, 1963";"Тегеран, Иран";"Актер, Продюсер"
"Киллиан Мерфи";"25 мая, 1976";"Дуглас,Манстер,Ирландия";"Актер, Сценарист, Продюсер"
"Мэтт Дэймон";"8 октября, 1970";"Бостон, Массачусетс, США";"Актер, Продюсер, Сценарист, Монтажер"
"Флоренс Пью";"3 января, 1996";"Оксфорд, Англия, Великобритания";"Актриса, Продюсер"
"Джош Хартнетт";"21 июля, 1978";"Сент-Пол, Миннесота, США";"Актер, Продюсер"
"Кейси Аффлек";"12 августа, 1975";"Фолмут, Массачусетс, США";"Актер, Продюсер, Сценарист, Режиссер, Монтажер, Оператор"
"Джеймс Д’Арси";"24 августа, 1975";"Лондон, Англия, Великобритания";"Актер, Режиссер, Сценарист, Продюсер"
"Тахар Рахим";"4 июля,1981";"Бельфор, Франция";"Актер"
"Руперт Эверетт";"29 мая, 1959";"Норфолк, Англия, Великобритания";"Актер, Продюсер, Сценарист, Режиссер"
"Марк Боннар";"19 ноября, 1968";"Эдинбург, Шотландия";"Актер"
"Пол Рис";"19 декабря,1963";"Нит,Гламорган,Уэльс,Великобритания";"Актер"
"Бен Майлз";"29 сентября,1966";"Уимблдон,Лондон,Англия";"Актер"
"Эдуар Филиппонна";"2 декабря, 1999";"Франция";"Актер, Режиссер, Сценарист"
"Джессика Честейн";"24 марта, 1977";"Сакраменто, Калифорния, США";"Актриса, Продюсер"
"Майкл Кейн";"14 марта, 1933";"Лондон,Англия,Великобритания";"Актер, Продюсер, Композитор"
"Дэвид Джеси";"2 января, 1974";"Хаммерсмит,Лондон,Англия";"Актер, Продюсер"
"Джон Литгоу";"19 октября,1945";"Рочестер,Нью-Йорк,США";"Актер, Продюсер"
"Чарли Ханнэм";"10 апреля, 1980";"Ньюкасл-апон-Тайн, Англия, Великобритания";"Актер, Продюсер"
"Генри Голдинг";"5 февраля,1987";"Бетонг,Саравак,Малайзия";"Актер, Продюсер"
"Хью Грант";"9 сентября,1960";"Лондон,Англия,Великобритания";"Актер"
"Мишель Докери";"15 декабря,1981";"Эссекс,Англия,Великобритания";"Актриса"
"Джереми Стронг";"25 декабря, 1978";"Бостон,Массачусетс,США";"Актер, Продюсер"
"Астрид Берже-Фрисби";"26 мая,1986";"Барселона, Испания";"Актриса"
"Джуд Лоу";"29 декабря, 197";"Лондон,Англия,Великобритания";"Актер, Продюсер, Режиссер"
"Джимон Хонсу";"24 апреля, 1964";"Котону, Бенин";"Актер, Продюсер, Режиссер, Сценарист"
"Эрик Бана";"9 августа, 1968";"Мельбурн, Виктория, Австралия";"Актер, Продюсер, Режиссер, Сценарист"
"Эйдан Гиллен";"24 апреля, 1968";"Дублин, Ирландия";"Актер, Сценарист, Продюсер"
"Фредди Фокс";"5 апреля, 1989";"Хаммерсмит, Англия, Великобритания";"Актер, Режиссер, Сценарист, Продюсер"
"Крэйг МакГинли";"31 марта,1986";"Пейсли, Шотландия, Великобритания";"Актер, Продюсер"
"Том Уэллинг";"26 апреля, 1977";"Путнэм-Вэлли, Нью-Йорк, США";"Актер, Продюсер, Режиссер"
"Кингсли Бен-Адир";"28 февраля, 1986";"Лондон, Англия, Великобритания";"Актер"
"Эмили Браунинг";"7 декабря, 1988";"Мельбурн, Виктория, Австралия";"Актриса"
"Дэвид Тьюлис";"20 марта, 1963";"Блэкпул, Ланкашир, Англия, Великобритания";"Актер, Режиссер, Сценарист"
"Даффи";"23 июня, 1984";"Бангор, Гвинед, Уэльс, Великобритания";"Актриса, Композитор"
"Кристофер Экклстон";"16 февраля, 1964";"Солфорд, Ланкашир, Англия, Великобритания";"Актер"
"Чазз Пальминтери";"15 мая, 1952";"Нью-Йорк, США";"Актер, Продюсер, Сценарист, Режиссер"
"Пол Андерсон";"12 февраля, 1978";"Лондон, Англия, Великобритания";"Актер"
"Джошуа Хилл";"15 марта, 1997";"Лондон, Великобритания";"Актер"
"Колин Морган";"1 января,1986";"Арма,Северная Ирландия,Великобритания";"Актер"
"Тара Фитцджеральд";"18 сентября,1967";"Какфилд,Сассекс,Англия,Великобритания";"Актриса, Режиссер, Продюсер"
"Леонардо ДиКаприо";"11 ноября, 1974";"Лос-Анджелес,Калифорния,США";"Актер, Продюсер, Сценарист"
"Марк Руффало";"22 ноября, 1967";"Кеноша,Висконсин,США";"Актер, Продюсер, Режиссер, Сценарист"
"Бен Кингсли";"31 декабря,1943";"Скарборо,Йоркшир,Англия,Великобритания";"Актер, Продюсер"
"Макс фон Сюдов";"10 апреля, 1929";"Лунд, Сконе, Швеция";"Актер, Режиссер"
"Мишель Уильямс";"9 сентября,1980";"Калиспелл,Монтана,США";"Актриса, Продюсер"
"Эмили Мортимер";"6 октября, 1971";"Лондон,Англия,Великобритания";"Актриса, Продюсер, Сценарист, Режиссер"
"Патриша Кларксон";"29 декабря,1959";"Новый Орлеан,Луизиана,США";"Актриса, Продюсер"
"Джеки Эрл Хейли";"14 июля,1961";"Нортридж,Калифорния,США";"Актер, Режиссер, Сценарист"
"Тед Левайн";"29 мая,1957";"Беллэйр, Огайо, США";"Актер"
"Джон Кэрролл Линч";"1 августа, 1963";"Болдер, Колорадо, США";"Актер, Режиссер, Монтажер"
"Джона Хилл";"20 декабря,1983";"Лос-Анджелес,Калифорния,США";"Актер, Продюсер, Сценарист, Режиссер"
"Марго Робби";"2 июля, 1990";"Дэлби, Квинсленд, Австралия";"Актриса, Продюсер"
"Кайл Чандлер";"17 сентября,1965";"Баффало,Нью-Йорк,США";"Актер, Режиссер, Продюсер"
"Роб Райнер";"6 марта,1947";"Бронкс,Нью-Йорк,США";"Актер, Режиссер, Продюсер, Сценарист, Композитор"
"П.Дж. Бирн";"15 декабря, 1974";"Манасквен,Нью-Джерси,США";"Актер, Режиссер, Сценарист"
"Джон Бернтал";"20 сентября,1976";"Вашингтон,округ Колумбия,США";"Актер"
